timestamp_utc,mmsi,latitude,longitude,cog,sog,true_heading,navigational_status,wetterzustand,luftdruck,windrichtung,windstaerke,bewoelkung,lufttemperatur,wassertemperatur,niederschlag,wellenhoehe
2025-10-23 21:26:27.235007123 +0000 UTC,244528000,50.72777,1.59783,360,0.1,511,5,Leichter Regen,997.7,293,46.3,100,9.8,14.9,0.2,2.34
2025-10-23 21:53:25.779693255 +0000 UTC,244528000,50.72779,1.59782,360,0.1,511,5,Leichter Regen,998.3,290,43.3,100,9.9,14.9,0.0,2.34
2025-10-23 22:32:26.968674721 +0000 UTC,244528000,50.72779,1.59784,360,0,511,5,Leichter Regen,998.8,289,40.6,100,10.2,14.9,0.0,2.34
2025-10-23 22:53:26.978737492 +0000 UTC,244528000,50.7278,1.59783,360,0.1,511,5,Leichter Regen,998.9,288,40.5,100,10.2,14.9,0.0,2.34
2025-10-23 23:29:29.033034101 +0000 UTC,244528000,50.7278,1.59782,360,0.1,511,5,Leichter Regen,999.1,288,39.3,96,10.1,14.8,0.0,2.34
2025-10-23 23:53:26.846082149 +0000 UTC,244528000,50.72781,1.59781,360,0,511,5,Leichter Regen,999.3,286,37.1,96,10.0,14.8,0.0,2.34
2025-10-24 02:02:26.286219565 +0000 UTC,244528000,50.72777,1.59781,360,0.1,511,5,Überwiegend klar,1000.1,282,35.7,38,10.1,14.7,0.0,2.42
2025-10-24 03:11:29.563601591 +0000 UTC,244528000,50.72777,1.59781,360,0,511,5,Überwiegend klar,1000.8,279,33.2,28,10.1,14.6,0.0,2.4
2025-10-24 10:53:25.538241975 +0000 UTC,244528000,50.72778,1.59783,360,0.1,511,5,Leichte Regenschauer,1002.0,263,30.5,74,12.5,14.4,0.0,2.26
2025-10-24 11:29:26.575549948 +0000 UTC,244528000,50.72776,1.59783,360,0,511,5,Bedeckt,1002.0,259,32.3,97,12.6,14.4,0.1,2.26
2025-10-24 13:02:26.58906963 +0000 UTC,244528000,50.72773,1.59783,360,0.1,511,5,Leichte Regenschauer,1001.4,243,31.4,75,12.2,14.6,0.0,2.26
2025-10-24 13:47:28.579872106 +0000 UTC,244528000,50.72776,1.59783,360,0,511,5,Bedeckt,1001.0,254,33.0,91,13.1,14.6,0.0,2.26
2025-10-24 15:35:28.878204459 +0000 UTC,244528000,50.72782,1.59782,360,0.1,511,5,Teilweise bewölkt,1000.7,257,32.6,18,12.9,14.6,0.2,2.36
2025-10-24 15:53:28.910065893 +0000 UTC,244528000,50.72783,1.59784,360,0,511,5,Teilweise bewölkt,1000.8,255,33.9,18,12.8,14.6,0.0,2.36
2025-10-24 23:29:26.25839654 +0000 UTC,244528000,50.72778,1.5978,360,0.1,511,5,Mäßiger Regen,997.9,240,29.8,100,13.4,14.4,1.3,2.42
2025-10-24 23:53:28.388827424 +0000 UTC,244528000,50.72776,1.59782,360,0.1,511,5,Mäßiger Regen,997.6,242,33.8,100,13.4,14.4,2.0,2.42
2025-10-25 02:02:27.218041509 +0000 UTC,244528000,50.7278,1.5978,360,0.1,511,5,Leichte Regenschauer,996.8,293,25.5,100,12.4,14.4,0.0,2.66
2025-10-25 03:14:28.043694743 +0000 UTC,244528000,50.7278,1.59781,360,0,511,5,Bedeckt,997.2,294,24.5,98,11.6,14.4,0.0,2.56
2025-10-25 03:56:27.573060772 +0000 UTC,244528000,50.72781,1.5978,360,0.1,511,5,Bedeckt,997.9,293,25.0,98,11.1,14.4,0.0,2.56
2025-10-25 04:35:26.607050699 +0000 UTC,244528000,50.72783,1.59786,360,0.1,511,5,Teilweise bewölkt,998.3,291,26.5,66,10.9,14.4,0.0,2.56
2025-10-25 04:53:28.417548908 +0000 UTC,244528000,50.7278,1.59784,360,0,511,5,Teilweise bewölkt,998.4,291,27.8,66,10.9,14.4,0.0,2.56
2025-10-25 08:34:48.733879294 +0000 UTC,244528000,50.74458,1.51913,267,5.7,511,0,Bedeckt,1002.7,300,40.0,100,12.1,14.6,0.0,2.26
2025-10-25 08:51:28.92417 +0000 UTC,244528000,50.74276,1.47771,227.3,7.8,511,0,Leichter Regen,1002.9,302,36.4,100,11.9,15.1,0.0,2.34
2025-10-25 09:28:59.289252002 +0000 UTC,244528000,50.67426,1.40101,209.5,7.6,511,8,Bedeckt,1003.4,305,34.2,100,11.9,15.5,0.0,2.0
2025-10-25 18:02:00.00000000 +0000 UTC,244528000,50.21439,0.26268,242,6.6,511,0,Teilweise bewölkt,1007.0,311,47.7,26,12.6,15.9,0.0,1.7
2025-10-25 18:50:00.00000000 +0000 UTC,244528000,50.17476,0.15754,246,7.0,511,0,Teilweise bewölkt,1008.1,315,46.1,76,12.1,16.0,0.0,1.68
2025-10-25 19:03:00.00000000 +0000 UTC,244528000,50.16092,0.11992,244,6.8,511,0,Überwiegend klar,1008.4,317,45.6,35,11.9,15.9,0.0,1.7
2025-10-25 19:33:41.657423384 +0000 UTC,244528000,50.13492,0.05066,243.9,5.9,511,8,Teilweise bewölkt,1008.7,312,46.1,52,12.1,16.0,0.0,1.68
2025-10-25 19:52:10.710711256 +0000 UTC,244528000,50.12204,0.01052,239,5.7,511,8,Teilweise bewölkt,1008.9,310,44.9,60,12.1,16.0,0.0,1.68
2025-10-25 20:31:52.197787322 +0000 UTC,244528000,50.09833,-0.06128,249.4,3.3,511,8,Überwiegend klar,1009.2,307,43.9,30,12.1,16.0,0.0,1.68
2025-10-25 20:52:40.6167254 +0000 UTC,244528000,50.08701,-0.08749,246.7,3.8,511,8,Überwiegend klar,1009.3,307,44.0,26,12.1,16.1,0.0,1.66
2025-10-25 21:28:10.926009646 +0000 UTC,244528000,50.06977,-0.13454,238.7,2.8,511,8,Teilweise bewölkt,1009.4,305,43.6,50,12.2,16.0,0.0,1.68
2025-10-25 21:52:31.460093815 +0000 UTC,244528000,50.05818,-0.16637,241.8,3.7,511,8,Teilweise bewölkt,1009.5,304,44.6,50,12.4,16.0,0.0,1.68
2025-10-25 22:30:50.794565948 +0000 UTC,244528000,50.04535,-0.2115,252.1,3.6,511,8,Teilweise bewölkt,1009.9,305,45.2,51,12.2,16.1,0.0,1.68
2025-10-25 22:52:00.779705962 +0000 UTC,244528000,50.03977,-0.2359,241.4,2.1,511,8,Teilweise bewölkt,1009.8,303,43.7,51,12.2,16.1,0.0,1.68
2025-10-25 23:27:11.902734548 +0000 UTC,244528000,50.02045,-0.27691,229.3,3.6,511,8,Bedeckt,1009.7,297,44.0,88,12.4,16.1,0.0,1.68
2025-10-25 23:51:40.49526506 +0000 UTC,244528000,50.00467,-0.30661,222.6,3.3,511,8,Bedeckt,1009.6,285,46.2,88,12.3,16.1,0.0,1.68
2025-10-26 02:17:22.347841847 +0000 UTC,244528000,49.78784,-0.25157,169.7,4.8,511,8,Leichte Regenschauer,1009.6,308,42.3,96,12.2,15.8,0.0,2.04
2025-10-26 03:33:20.922977866 +0000 UTC,244528000,49.67714,-0.19963,167.5,6,511,8,Bedeckt,1009.8,306,37.6,100,12.2,15.6,0.0,1.84
2025-10-26 03:58:51.059283844 +0000 UTC,244528000,49.6416,-0.18538,168.7,5.9,511,8,Bedeckt,1010.0,310,39.6,90,12.2,15.4,0.0,1.78
2025-10-26 04:34:51.865487436 +0000 UTC,244528000,49.59218,-0.16602,167.4,5.3,511,8,Bedeckt,1009.8,316,35.6,94,11.9,15.2,0.0,1.8
2025-10-26 04:51:11.482767363 +0000 UTC,244528000,49.57585,-0.14865,135.7,5,511,8,Bedeckt,1010.0,319,35.2,95,11.9,14.9,0.0,1.84
2025-10-26 05:33:10.36786893 +0000 UTC,244528000,49.53883,-0.08188,139.2,5.3,511,8,Bedeckt,1010.6,324,37.2,89,11.7,14.8,0.0,1.84
2025-10-26 05:52:00.94313904 +0000 UTC,244528000,49.52062,-0.05093,125.4,5.4,511,8,Bedeckt,1010.9,327,37.7,83,11.4,14.8,0.0,1.84
2025-10-26 06:42:51.739967534 +0000 UTC,244528000,49.51417,-0.03272,330.3,2.3,511,0,Leichte Regenschauer,1011.5,326,36.0,79,11.1,14.8,0.0,1.64
2025-10-26 06:55:02.579168728 +0000 UTC,244528000,49.52115,-0.03877,319,2.9,511,0,Leichte Regenschauer,1011.7,326,34.4,79,11.1,14.8,0.0,1.64
2025-10-26 07:27:10.442286388 +0000 UTC,244528000,49.49162,-0.04302,151.5,9.3,511,0,Teilweise bewölkt,1012.3,325,33.4,71,11.0,14.3,0.0,1.58
2025-10-26 07:52:30.411092278 +0000 UTC,244528000,49.45504,0.02612,125.5,8.8,511,0,Teilweise bewölkt,1013.0,318,33.9,78,11.1,13.9,0.0,1.56
2025-10-26 08:34:51.51821478 +0000 UTC,244528000,49.43128,0.16211,99,8.4,511,0,Teilweise bewölkt,1013.6,313,24.0,52,10.8,13.5,0.0,1.4
2025-10-26 08:51:31.278255883 +0000 UTC,244528000,49.42961,0.22198,96.4,7.5,511,0,Teilweise bewölkt,1013.7,314,19.9,60,10.9,13.3,0.0,1.3
2025-10-26 09:29:31.696803546 +0000 UTC,244528000,49.4299,0.23671,14.1,0.9,511,0,Teilweise bewölkt,1013.9,314,20.4,68,11.1,13.3,0.0,1.14
2025-10-26 09:51:31.331710936 +0000 UTC,244528000,49.42941,0.22892,255.5,1.4,511,0,Teilweise bewölkt,1014.1,310,20.7,68,11.4,13.3,0.0,1.14
2025-10-26 10:33:20.580704482 +0000 UTC,244528000,49.43151,0.1898,272.1,2.5,511,0,Überwiegend klar,1013.8,304,26.2,38,11.9,13.3,0.0,1.14
2025-10-26 10:51:50.4039356 +0000 UTC,244528000,49.43198,0.17131,277.6,2,511,0,Überwiegend klar,1013.9,303,25.5,38,11.9,13.3,0.0,1.14
2025-10-26 11:26:11.570948567 +0000 UTC,244528000,49.43036,0.19611,96.7,5.5,511,0,Teilweise bewölkt,1013.8,301,25.5,46,12.1,13.3,0.0,1.14
2025-10-26 11:51:52.026212592 +0000 UTC,244528000,49.43051,0.22131,264.9,2.1,511,0,Teilweise bewölkt,1013.7,293,23.9,49,12.4,13.3,0.0,1.14
2025-10-26 12:54:20.297324906 +0000 UTC,244528000,49.4319,0.16151,289,2.1,511,0,Bedeckt,1013.9,297,29.0,100,12.1,13.5,0.0,1.16
2025-10-26 13:33:22.161798595 +0000 UTC,244528000,49.43252,0.1351,110.9,5.5,511,0,Leichter Regen,1013.7,287,35.4,100,12.2,13.5,0.0,1.16
2025-10-26 13:52:40.684487234 +0000 UTC,244528000,49.43103,0.18253,90.9,5.8,511,0,Leichter Regen,1013.7,288,28.5,100,12.0,13.4,0.0,1.06
2025-10-26 14:31:11.134787 +0000 UTC,244528000,49.4316,0.177,269.8,2,511,0,Leichter Regen,1013.8,281,33.3,100,12.1,13.4,0.0,1.06
2025-10-26 14:51:41.350862357 +0000 UTC,244528000,49.43269,0.14638,264.5,6.1,511,0,Leichter Regen,1014.0,277,43.9,100,12.5,13.5,0.3,1.16
2025-10-26 15:29:31.012194644 +0000 UTC,244528000,49.44364,0.0591,290.4,5.1,511,0,Leichter Regen,1014.0,274,44.0,98,12.4,13.8,0.0,1.4
2025-10-26 15:51:52.208751994 +0000 UTC,244528000,49.45874,0.0159,290.7,5.1,511,0,Leichter Regen,1014.0,276,44.1,96,12.4,13.8,0.1,1.4
2025-10-26 16:35:51.812828174 +0000 UTC,244528000,49.49347,0.04382,104.8,8.4,511,0,Leichter Regen,1013.4,274,40.0,100,12.5,13.8,0.0,1.4
2025-10-26 16:52:52.026305777 +0000 UTC,244528000,49.48406,0.09808,100.5,7.3,511,0,Leichter Regen,1013.3,269,30.6,100,12.1,13.4,0.0,1.26
2025-10-26 17:30:11.368076838 +0000 UTC,244528000,49.48285,0.11553,360,0,511,0,Leichter Regen,1012.7,271,32.0,100,12.1,13.4,0.0,1.26
2025-10-26 18:39:31.17195368 +0000 UTC,244528000,49.4871,0.12292,192,2.1,511,0,Leichter Regen,1012.9,269,32.4,100,12.1,13.4,0.1,1.32
2025-10-26 18:53:11.414292455 +0000 UTC,244528000,49.48092,0.136,72,0.6,511,0,Leichter Regen,1011.9,267,29.9,100,12.1,13.4,0.1,1.32
2025-10-26 19:25:11.227647903 +0000 UTC,244528000,49.48108,0.13624,360,0,511,0,Leichter Regen,1011.7,260,29.9,100,12.1,13.4,0.3,1.32
2025-10-27 10:38:51.281728637 +0000 UTC,244528000,49.48107,0.13626,360,0.1,511,5,Bedeckt,1009.0,299,37.7,92,14.6,13.4,0.0,2.1
2025-10-27 10:53:53.249617003 +0000 UTC,244528000,49.48108,0.13626,360,0,511,5,Bedeckt,1009.3,300,37.9,92,14.6,13.4,0.0,2.1
2025-10-27 14:53:51.530444389 +0000 UTC,244528000,49.48104,0.13627,360,0.1,511,5,Teilweise bewölkt,1011.3,293,34.4,44,14.4,13.5,0.0,2.0
2025-10-27 15:32:49.517989237 +0000 UTC,244528000,49.48104,0.13628,360,0,511,5,Teilweise bewölkt,1011.7,293,32.9,65,14.3,13.5,0.0,1.94
2025-10-27 22:53:50.043560183 +0000 UTC,244528000,49.48108,0.13625,360,0.1,511,5,Bedeckt,1013.1,262,32.0,100,14.4,13.4,0.0,1.38
2025-10-27 23:29:52.346574151 +0000 UTC,244528000,49.48109,0.13622,360,0,511,5,Bedeckt,1013.2,259,31.1,100,14.4,13.4,0.0,1.38
2025-10-30 04:36:26.716383401 +0000 UTC,244528000,49.48105,0.13627,360,0.1,511,5,Überwiegend klar,1007.9,226,21.9,17,11.1,13.3,0.0,0.96
2025-10-30 04:52:19.068475796 +0000 UTC,244528000,49.48301,0.11475,271.3,1.9,511,0,Überwiegend klar,1008.4,230,21.7,12,11.1,13.2,0.0,0.96
2025-10-30 05:33:50.128052768 +0000 UTC,244528000,49.48508,0.09296,289,6,511,0,Sonnig,1009.1,228,20.9,0,11.1,13.2,0.0,0.96
2025-10-30 05:52:08.752460636 +0000 UTC,244528000,49.49591,0.04491,286.8,6.1,511,0,Sonnig,1009.2,220,28.6,0,11.3,13.4,0.0,1.04
2025-10-30 06:45:00.443440449 +0000 UTC,244528000,49.52371,-0.09261,296.3,7.3,511,0,Sonnig,1009.8,213,28.4,0,11.5,14.4,0.0,0.98
2025-10-30 06:58:10.447686838 +0000 UTC,244528000,49.53411,-0.13242,277.9,8.3,511,0,Sonnig,1009.8,215,28.0,0,11.6,14.4,0.0,0.98
